2019-09-20 10:04:02  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 0.0 coins 
xrp                  | open_orders | id:  31302889 type: bid 
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-20 10:04:02  | My Order List is  [] 
2019-09-20 10:04:02  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-09-20 10:04:02  | Spawn Trader  dongwkim-trader1 
2019-09-20 10:04:02  | Current Trader is dongwkim-trader1
2019-09-20 10:04:02  | Get Last Order from Redis
2019-09-21 02:06:04  | TEST  | Price: p:342.8/b:342.7/a:342.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -1(-0.3%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:05  | TEST  | Price: p:342.8/b:342.9/a:343.3/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -1(-0.3%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:05  | TEST  | Price: p:342.8/b:342.8/a:343.3/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -1(-0.3%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:05  | TEST  | Price: p:342.8/b:342.8/a:343.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -1(-0.3%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:05  | TEST  | Price: p:342.8/b:342.9/a:343.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -1(-0.3%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:05  | TEST  | Price: p:342.8/b:342.8/a:343.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -1(-0.3%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:05  | TEST  | Price: p:342.8/b:342.9/a:343.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -1(-0.3%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:05  | TEST  | Price: p:342.8/b:342.8/a:343.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -1(-0.3%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:05  | TEST  | Price: p:342.8/b:343.0/a:343.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -1(-0.3%)/   0(0.1%) Avg:  342/ 341 | deal (0) | bal:242,112  
2019-09-21 02:06:05  | TEST  | Price: p:342.8/b:342.8/a:343.8/l:353 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   2(0.5%) Avg:  342/ 341 | deal (0) | bal:242,112  
