2019-07-11 00:15:10  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 680.1588 coins | available 20.991812 coins 
xrp                  | open_orders | id:  14444799 type: ask 
2019-07-11 00:15:10  | Get Last Order from Redis
2019-07-11 00:15:10  | Get Last Order from Redis
2019-07-11 00:15:10  | Get Last Order from Redis
2019-07-11 00:15:10  | Get Last Order from Redis
2019-07-11 00:15:10  | Get Last Order from Redis
2019-07-11 00:15:10  | My Order List is  [] 
2019-07-11 00:15:10  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-07-11 00:15:10  | Spawn Trader  dongwkim-trader1 
2019-07-11 00:15:10  | Current Trader is dongwkim-trader1
2019-07-11 00:15:10  | Get Last Order from Redis
2019-07-11 00:15:14  | TEST  | Price: p:385.0/b:385.0/a:394.0/l:402 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:  -18(-4.7%)/  -8(-2.1%)/  -5(-1.3%) Avg:  393/ 389 | deal (0) | bal:269,942  
2019-07-12 09:10:35  | TEST  | Price: p:358.0/b:358.1/a:358.5/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.6%)/  -4(-1.0%)/  -2(-0.6%) Avg:  360/ 359 | deal (0) | bal:251,011  
2019-07-12 09:11:00  | TEST  | Price: p:358.5/b:358.7/a:361.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.4%)/  -3(-0.8%)/  -2(-0.4%) Avg:  360/ 359 | deal (0) | bal:251,362  
2019-07-12 09:11:00  | TEST  | Price: p:358.5/b:358.1/a:361.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.4%)/  -3(-0.8%)/   0(0.0%) Avg:  360/ 359 | deal (0) | bal:251,362  
2019-07-12 09:11:00  | TEST  | Price: p:358.5/b:358.2/a:361.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.4%)/  -3(-0.8%)/   0(0.0%) Avg:  360/ 359 | deal (0) | bal:251,362  
2019-07-12 09:11:00  | TEST  | Price: p:358.5/b:358.3/a:361.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -2(-0.4%)/  -3(-0.8%)/   0(0.0%) Avg:  360/ 359 | deal (0) | bal:251,362  
2019-07-12 09:11:26  | TEST  | Price: p:361.0/b:358.3/a:361.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/  -0(-0.1%)/   3(0.8%) Avg:  360/ 359 | deal (0) | bal:253,115  
2019-07-12 09:11:26  | TEST  | Price: p:361.0/b:358.4/a:361.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.3%)/  -0(-0.1%)/   2(0.7%) Avg:  360/ 359 | deal (0) | bal:253,115  
2019-07-12 09:11:26  | TEST  | Price: p:361.0/b:358.5/a:361.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   0(0.1%)/   3(0.9%) Avg:  360/ 360 | deal (0) | bal:253,115  
2019-07-12 09:11:37  | TEST  | Price: p:361.7/b:358.5/a:361.7/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   0(0.1%)/   3(0.9%) Avg:  360/ 360 | deal (0) | bal:253,606  
2019-07-12 09:11:37  | TEST  | Price: p:361.7/b:358.0/a:361.7/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   0(0.1%)/   3(0.9%) Avg:  360/ 360 | deal (0) | bal:253,606  
2019-07-12 09:11:37  | TEST  | Price: p:361.7/b:358.7/a:361.7/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   0(0.1%)/   3(0.9%) Avg:  360/ 360 | deal (0) | bal:253,606  
2019-07-12 09:11:59  | TEST  | Price: p:358.7/b:358.7/a:361.7/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/  -3(-0.8%)/  -2(-0.6%) Avg:  360/ 360 | deal (0) | bal:251,502  
2019-07-12 09:11:59  | TEST  | Price: p:358.7/b:358.8/a:361.7/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.4%)/   0(0.1%)/  -2(-0.6%) Avg:  360/ 360 | deal (0) | bal:251,502  
2019-07-12 09:12:09  | TEST  | Price: p:361.7/b:358.9/a:361.7/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   3(0.9%)/   1(0.2%) Avg:  360/ 360 | deal (0) | bal:253,606  
2019-07-12 09:12:09  | TEST  | Price: p:361.7/b:358.8/a:361.7/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   3(0.9%)/   1(0.2%) Avg:  360/ 360 | deal (0) | bal:253,606  
2019-07-12 09:12:09  | TEST  | Price: p:361.7/b:359.0/a:361.7/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   3(0.9%)/   1(0.2%) Avg:  360/ 360 | deal (0) | bal:253,606  
2019-07-12 09:12:09  | TEST  | Price: p:361.7/b:359.1/a:361.7/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   3(0.9%)/   1(0.2%) Avg:  360/ 360 | deal (0) | bal:253,606  
2019-07-12 09:12:22  | TEST  | Price: p:361.7/b:361.9/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   3(0.9%)/   1(0.2%) Avg:  360/ 360 | deal (0) | bal:253,606  
2019-07-12 09:12:22  | TEST  | Price: p:361.7/b:359.1/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   3(0.9%)/   1(0.2%) Avg:  360/ 360 | deal (0) | bal:253,606  
2019-07-12 09:12:22  | TEST  | Price: p:361.7/b:359.2/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   3(0.9%)/   3(0.8%) Avg:  360/ 360 | deal (0) | bal:253,606  
2019-07-12 09:12:22  | TEST  | Price: p:361.7/b:359.3/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   3(0.9%)/   3(0.8%) Avg:  360/ 360 | deal (0) | bal:253,606  
2019-07-12 09:12:22  | TEST  | Price: p:361.7/b:359.4/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.4%)/   2(0.5%)/   3(0.8%) Avg:  360/ 360 | deal (0) | bal:253,606  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:360.0/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/  -2(-0.5%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:360.2/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/  -2(-0.5%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:359.4/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/  -2(-0.5%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:359.5/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/  -2(-0.5%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:359.4/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/  -2(-0.5%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:359.5/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:359.4/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:359.5/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:359.4/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:360.1/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:360.0/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:360.1/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:360.2/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:13:03  | TEST  | Price: p:360.0/b:360.1/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:252,414  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:361.0/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.2/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.5%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.3/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    2(0.6%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.4/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.3/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.4/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.3/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.4/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.5/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.6/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.5/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.6/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.5/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.6/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.5/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.6/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.7/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.8/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.7/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.8/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.7/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:359.3/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.0/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:14:06  | TEST  | Price: p:362.0/b:360.1/a:362.0/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    3(0.8%)/   2(0.6%)/   0(0.0%) Avg:  360/ 360 | deal (0) | bal:253,816  
2019-07-12 09:15:54  | TEST  | Price: p:362.6/b:360.1/a:362.7/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    5(1.5%)/   4(1.2%)/   2(0.6%) Avg:  360/ 361 | deal (0) | bal:254,237  
2019-07-12 09:15:55  | TEST  | Price: p:364.3/b:360.1/a:364.3/l:378 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    5(1.5%)/   4(1.2%)/   2(0.6%) Avg:  360/ 361 | deal (0) | bal:255,429  
