2019-01-11 23:02:51  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 680.1588 coins | available 0.0 coins 
xrp                  | open_orders | id:  14444799 type: ask 
2019-01-11 23:02:51  | Get Last Order from Redis
2019-01-11 23:02:51  | Get Last Order from Redis
2019-01-11 23:02:51  | Get Last Order from Redis
2019-01-11 23:02:51  | Get Last Order from Redis
2019-01-11 23:02:51  | Get Last Order from Redis
2019-01-11 23:02:51  | My Order List is  [] 
2019-01-11 23:02:51  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-01-11 23:02:51  | Spawn Trader  dongwkim-trader1 
2019-01-11 23:02:51  | Current Trader is dongwkim-trader1
2019-01-11 23:02:51  | Get Last Order from Redis
2019-01-12 01:22:25  | TEST  | Price: p:374.0/b:373.3/a:373.8/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   2(0.5%)/   0(0.0%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:22:25  | TEST  | Price: p:374.0/b:373.4/a:373.8/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   2(0.5%)/   0(0.0%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:22:25  | TEST  | Price: p:374.0/b:373.3/a:373.8/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   2(0.5%)/   0(0.0%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:22:25  | TEST  | Price: p:374.0/b:373.4/a:373.8/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   2(0.5%)/   0(0.0%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:22:25  | TEST  | Price: p:374.0/b:373.6/a:373.8/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   2(0.5%)/   0(0.0%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:22:25  | TEST  | Price: p:374.0/b:373.7/a:373.8/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   2(0.5%)/   0(0.0%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:22:25  | TEST  | Price: p:374.0/b:373.6/a:373.8/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   2(0.5%)/   0(0.0%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:22:25  | TEST  | Price: p:374.0/b:373.7/a:373.8/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   2(0.5%)/   0(0.0%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:22:25  | TEST  | Price: p:374.0/b:373.6/a:373.8/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   2(0.5%)/   0(0.0%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:22:25  | TEST  | Price: p:374.0/b:373.7/a:373.8/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/   2(0.5%)/   0(0.0%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:25:38  | TEST  | Price: p:374.0/b:373.7/a:374.0/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   2(0.5%)/   0(0.1%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:25:38  | TEST  | Price: p:374.0/b:373.8/a:374.0/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   2(0.5%)/   0(0.1%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:25:38  | TEST  | Price: p:374.0/b:373.9/a:374.0/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   2(0.5%)/   0(0.1%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:25:38  | TEST  | Price: p:374.0/b:373.6/a:374.0/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   2(0.5%)/   0(0.1%) Avg:  373/ 373 | deal (0) | bal:350,609  
2019-01-12 01:25:38  | TEST  | Price: p:374.0/b:373.7/a:374.0/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   2(0.4%)/   0(0.1%) Avg:  373/ 374 | deal (0) | bal:350,609  
2019-01-12 01:25:38  | TEST  | Price: p:374.0/b:373.8/a:374.0/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   2(0.4%)/   0(0.1%) Avg:  373/ 374 | deal (0) | bal:350,609  
2019-01-12 01:25:38  | TEST  | Price: p:374.0/b:373.9/a:374.0/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   1(0.2%)/   0(0.1%) Avg:  373/ 374 | deal (0) | bal:350,609  
2019-01-12 01:25:38  | TEST  | Price: p:374.0/b:373.8/a:374.0/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   1(0.2%)/   0(0.1%) Avg:  373/ 374 | deal (0) | bal:350,609  
2019-01-12 01:25:38  | TEST  | Price: p:374.0/b:373.9/a:374.0/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   1(0.2%)/   0(0.1%) Avg:  373/ 374 | deal (0) | bal:350,609  
2019-01-12 01:26:16  | TEST  | Price: p:374.0/b:373.6/a:374.5/l:366 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/   1(0.2%)/   0(0.1%) Avg:  373/ 374 | deal (0) | bal:350,609  
