xrp     | trade_in_use 85.828 coin
[(10387685, 0.0998), (10318403, 0.09992000000000001), (10316484, 0.09992000000000001), (10305206, 0.009992000000000001), (10305019, 0.00998546), (10304867, 0.01665332), (9910816, 0.82852404), (9908787, 0.16760432328407088), (9907696, 0.017075873516126272)]
2018-01-05 22:42:04 | Price: p:1,486,350/b:1,486,300/a:1,486,350/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -14150/-11650/ -2500 Avg: 1494094/1489025 |  lat:   63 ms| bidding (0) | balance:170741  
2018-01-05 22:42:04 | Price: p:1,486,350/b:1,486,300/a:1,494,000/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -14150/-11650/ -2500 Avg: 1494094/1489025 |  lat:   42 ms| bidding (0) | balance:170741  
2018-01-05 22:42:11 | Price: p:1,486,300/b:1,486,300/a:1,494,000/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -14200/-11700/ -2550 Avg: 1494040/1488974 |  lat:   75 ms| bidding (0) | balance:170741  
2018-01-05 22:42:11 | Price: p:1,486,300/b:1,486,300/a:1,493,950/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -14200/-11700/ -2600 Avg: 1494016/1488974 |  lat:   58 ms| bidding (0) | balance:170741  
2018-01-05 22:42:11 | Price: p:1,486,300/b:1,486,300/a:1,493,900/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -14200/-11700/ -1700 Avg: 1494016/1488974 |  lat:   62 ms| bidding (0) | balance:170741  
2018-01-05 22:42:11 | Price: p:1,486,300/b:1,486,300/a:1,493,850/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -17700/-11700/ -8300 Avg: 1493966/1488974 |  lat:   57 ms| bidding (0) | balance:170741  
2018-01-05 22:42:11 | Price: p:1,486,300/b:1,486,300/a:1,493,800/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -17700/-11700/ -8300 Avg: 1493966/1488974 |  lat:   58 ms| bidding (0) | balance:170741  
2018-01-05 22:42:11 | Price: p:1,486,300/b:1,486,500/a:1,493,800/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -17700/-11700/  -100 Avg: 1493966/1488974 |  lat:   61 ms| bidding (0) | balance:170741  
2018-01-05 22:42:54 | Price: p:1,486,500/b:1,486,500/a:1,493,800/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -15450/  -700/   150 Avg: 1493899/1488185 |  lat:   46 ms| bidding (0) | balance:170741  
2018-01-05 22:42:54 | Price: p:1,486,500/b:1,486,500/a:1,493,750/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -15450/  -700/   150 Avg: 1493899/1488185 |  lat:   62 ms| bidding (0) | balance:170741  
2018-01-05 22:42:54 | Price: p:1,486,500/b:1,486,500/a:1,493,700/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -15450/  -700/   200 Avg: 1493899/1488185 |  lat:   41 ms| bidding (0) | balance:170741  
2018-01-05 22:42:54 | Price: p:1,486,500/b:1,486,600/a:1,492,850/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta: -15450/  -700/     0 Avg: 1493899/1488185 |  lat:   44 ms| bidding (0) | balance:170741  
2018-01-05 22:42:54 | Price: p:1,486,500/b:1,486,600/a:1,492,800/l:1,429,200 | Buy/Sell/Vol: 0/0/0 |  Delta:  -9650/  -700/     0 Avg: 1493764/1488185 |  lat:   53 ms| bidding (0) | balance:170741  
