2017-12-22 10:41:20 | Price: p:1655/b:1655/a:1660/l:1694 | Buy: 0/0 |  1Hr: delta: -102 1623/1692/1765 tx: 2589 | 10Min: delta: -11 1646/1658/1667 |  tx: 392 lat:   61 ms| bidding (0) | balance:101428  
2017-12-22 10:41:22 | Price: p:1660/b:1655/a:1660/l:1694 | Buy: 0/0 |  1Hr: delta: -99 1623/1692/1765 tx: 2591 | 10Min: delta: -13 1646/1658/1667 |  tx: 395 lat:   55 ms| bidding (0) | balance:101428  
2017-12-22 10:41:23 | Price: p:1659/b:1652/a:1659/l:1694 | Buy: 0/0 |  1Hr: delta: -97 1623/1691/1765 tx: 2591 | 10Min: delta:  -7 1646/1658/1667 |  tx: 395 lat:  114 ms| bidding (0) | balance:101428  
2017-12-22 10:41:26 | Price: p:1651/b:1651/a:1659/l:1694 | Buy: 0/0 |  1Hr: delta: -96 1623/1691/1765 tx: 2591 | 10Min: delta:  -7 1646/1658/1667 |  tx: 398 lat:   65 ms| bidding (0) | balance:101428  
2017-12-22 10:41:27 | Price: p:1659/b:1655/a:1659/l:1694 | Buy: 0/0 |  1Hr: delta: -96 1623/1691/1765 tx: 2593 | 10Min: delta:  -7 1646/1658/1667 |  tx: 400 lat:  121 ms| bidding (0) | balance:101428  
2017-12-22 10:41:33 | Price: p:1652/b:1652/a:1659/l:1694 | Buy: 0/0 |  1Hr: delta: -105 1623/1691/1765 tx: 2588 | 10Min: delta: -13 1646/1658/1667 |  tx: 401 lat:  111 ms| bidding (0) | balance:101428  
2017-12-22 10:41:37 | Price: p:1651/b:1650/a:1659/l:1694 | Buy: 0/0 |  1Hr: delta: -112 1623/1691/1765 tx: 2586 | 10Min: delta: -15 1646/1658/1667 |  tx: 404 lat:  116 ms| bidding (0) | balance:101428  
2017-12-22 10:41:39 | Price: p:1650/b:1650/a:1659/l:1694 | Buy: 0/0 |  1Hr: delta: -103 1623/1691/1765 tx: 2587 | 10Min: delta:  -6 1646/1658/1667 |  tx: 406 lat:  140 ms| bidding (0) | balance:101428  
2017-12-22 10:41:40 | Price: p:1650/b:1650/a:1659/l:1694 | Buy: 0/0 |  1Hr: delta: -112 1623/1691/1765 tx: 2588 | 10Min: delta: -15 1646/1658/1667 |  tx: 406 lat:  103 ms| bidding (0) | balance:101428  
2017-12-22 10:41:42 | Price: p:1659/b:1650/a:1659/l:1694 | Buy: 0/0 |  1Hr: delta: -97 1623/1691/1762 tx: 2587 | 10Min: delta:  -6 1646/1658/1667 |  tx: 407 lat:  109 ms| bidding (0) | balance:101428  
2017-12-22 10:41:44 | Price: p:1659/b:1650/a:1658/l:1694 | Buy: 0/0 |  1Hr: delta: -96 1623/1691/1762 tx: 2586 | 10Min: delta:  -5 1646/1658/1667 |  tx: 404 lat:  115 ms| bidding (0) | balance:101428  
2017-12-22 10:41:46 | Price: p:1658/b:1650/a:1658/l:1694 | Buy: 0/0 |  1Hr: delta: -102 1623/1691/1762 tx: 2586 | 10Min: delta:  -6 1646/1658/1667 |  tx: 405 lat:  109 ms| bidding (0) | balance:101428  
2017-12-22 10:41:48 | Price: p:1651/b:1651/a:1658/l:1694 | Buy: 0/0 |  1Hr: delta: -109 1623/1691/1762 tx: 2587 | 10Min: delta: -13 1646/1657/1667 |  tx: 406 lat:  117 ms| bidding (0) | balance:101428  
2017-12-22 10:41:58 | Price: p:1651/b:1651/a:1656/l:1694 | Buy: 0/0 |  1Hr: delta: -109 1623/1691/1762 tx: 2589 | 10Min: delta: -13 1646/1657/1667 |  tx: 408 lat:  104 ms| bidding (0) | balance:101428  
2017-12-22 10:42:00 | Price: p:1651/b:1651/a:1656/l:1694 | Buy: 0/0 |  1Hr: delta: -101 1623/1691/1762 tx: 2589 | 10Min: delta:  -8 1646/1657/1667 |  tx: 409 lat:  111 ms| bidding (0) | balance:101428  
2017-12-22 10:42:02 | Price: p:1656/b:1651/a:1655/l:1694 | Buy: 0/0 |  1Hr: delta: -99 1623/1691/1762 tx: 2587 | 10Min: delta:  -8 1646/1657/1667 |  tx: 409 lat:  163 ms| bidding (0) | balance:101428  
