2017-12-21 04:07:26 | Price: p:1034700/b:1034700/a:1037050 | Buy: 0/0 |  1Hr: delta: -7600 1033700/1042366/1056300 tx: 218 | 10Min: delta: -2350 1034700/1036284/1037100 |  tx:  32 lat:   46 ms| bidding (0) | balance:100000  
2017-12-21 04:08:16 | Price: p:1034700/b:1034650/a:1037050 | Buy: 0/0 |  1Hr: delta: -7600 1033700/1042366/1056300 tx: 217 | 10Min: delta: -2350 1034700/1036284/1037100 |  tx:  32 lat:   57 ms| bidding (0) | balance:100000  
2017-12-21 04:08:41 | Price: p:1034650/b:1033000/a:1034650 | Buy: 0/0 |  1Hr: delta: -10650 1033700/1042296/1056300 tx: 216 | 10Min: delta: -2400 1034650/1036188/1037100 |  tx:  34 lat:   67 ms| bidding (0) | balance:100000  
2017-12-21 04:08:50 | Price: p:1034650/b:1033000/a:1034650 | Buy: 0/0 |  1Hr: delta: -10650 1033700/1042261/1056300 tx: 217 | 10Min: delta: -2400 1034650/1036144/1037100 |  tx:  35 lat:   46 ms| bidding (0) | balance:100000  
2017-12-21 04:08:50 | Price: p:1034650/b:1033000/a:1034600 | Buy: 0/0 |  1Hr: delta: -10650 1033700/1042261/1056300 tx: 217 | 10Min: delta: -2400 1034650/1036144/1037100 |  tx:  35 lat:   46 ms| bidding (0) | balance:100000  
2017-12-21 04:09:08 | Price: p:1034650/b:1034500/a:1034600 | Buy: 0/0 |  1Hr: delta: -14350 1033700/1042233/1056300 tx: 215 | 10Min: delta: -2400 1034650/1036144/1037100 |  tx:  35 lat:   42 ms| bidding (0) | balance:100000  
2017-12-21 04:09:09 | Price: p:1034600/b:1034600/a:1034650 | Buy: 0/0 |  1Hr: delta: -14400 1033700/1042197/1056300 tx: 216 | 10Min: delta: -2450 1034600/1036101/1037100 |  tx:  36 lat:   42 ms| bidding (0) | balance:100000  
2017-12-21 04:09:10 | Price: p:1034650/b:1034500/a:1034600 | Buy: 0/0 |  1Hr: delta: -14400 1033700/1042197/1056300 tx: 216 | 10Min: delta: -2450 1034600/1036101/1037100 |  tx:  36 lat:   56 ms| bidding (0) | balance:100000  
2017-12-21 04:09:10 | Price: p:1034600/b:1034600/a:1034650 | Buy: 0/0 |  1Hr: delta: -14400 1033700/1042197/1056300 tx: 216 | 10Min: delta: -2450 1034600/1036101/1037100 |  tx:  36 lat:   58 ms| bidding (0) | balance:100000  
2017-12-21 04:09:15 | Price: p:1034600/b:1034600/a:1034650 | Buy: 0/0 |  1Hr: delta: -14350 1033700/1042131/1056300 tx: 216 | 10Min: delta: -2450 1034600/1036060/1037100 |  tx:  37 lat:   43 ms| bidding (0) | balance:100000  
