2018-01-05 03:42:19 | Price: p:4394/b:4394/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -154/ -30/  -8 Avg: 4458/4415 |  lat:   54 ms| bidding (0) | balance:500000  
2018-01-05 03:42:20 | Price: p:4390/b:4390/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -154/ -30/  -8 Avg: 4458/4415 |  lat:   88 ms| bidding (0) | balance:500000  
2018-01-05 03:42:26 | Price: p:4405/b:4390/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -139/   0/   7 Avg: 4458/4415 |  lat:   90 ms| bidding (0) | balance:500000  
2018-01-05 03:42:26 | Price: p:4405/b:4397/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -139/   0/   7 Avg: 4458/4415 |  lat:   88 ms| bidding (0) | balance:500000  
2018-01-05 03:43:09 | Price: p:4405/b:4397/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -138/  -6/   5 Avg: 4458/4415 |  lat:  241 ms| bidding (0) | balance:500000  
2018-01-05 03:43:33 | Price: p:4405/b:4397/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -118/  -6/   0 Avg: 4457/4414 |  lat:   84 ms| bidding (0) | balance:500000  
2018-01-05 03:43:33 | Price: p:4405/b:4397/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -118/  -6/   0 Avg: 4457/4414 |  lat:   68 ms| bidding (0) | balance:500000  
2018-01-05 03:43:33 | Price: p:4405/b:4398/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -134/  -6/   0 Avg: 4457/4414 |  lat:   85 ms| bidding (0) | balance:500000  
2018-01-05 03:43:42 | Price: p:4405/b:4398/a:4404/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -118/  -6/   0 Avg: 4456/4414 |  lat:   52 ms| bidding (0) | balance:500000  
2018-01-05 03:43:47 | Price: p:4405/b:4398/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -118/  -6/   0 Avg: 4456/4414 |  lat:   74 ms| bidding (0) | balance:500000  
2018-01-05 03:43:56 | Price: p:4398/b:4398/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -125/  -9/  -7 Avg: 4456/4414 |  lat:   78 ms| bidding (0) | balance:500000  
2018-01-05 03:43:58 | Price: p:4405/b:4398/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -117/  -6/   0 Avg: 4456/4414 |  lat:   69 ms| bidding (0) | balance:500000  
2018-01-05 03:43:58 | Price: p:4405/b:4399/a:4405/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -117/  -6/   0 Avg: 4456/4414 |  lat:   53 ms| bidding (0) | balance:500000  
2018-01-05 03:43:58 | Price: p:4405/b:4399/a:4404/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -117/  -6/   0 Avg: 4456/4413 |  lat:   80 ms| bidding (0) | balance:500000  
2018-01-05 03:43:58 | Price: p:4405/b:4400/a:4404/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -115/ -61/   0 Avg: 4455/4413 |  lat:  111 ms| bidding (0) | balance:500000  
2018-01-05 03:44:34 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -66/  -5 Avg: 4455/4413 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:44:39 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -66/  -5 Avg: 4455/4413 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:44:54 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -50/  -5 Avg: 4455/4412 |  lat:   76 ms| bidding (0) | balance:500000  
2018-01-05 03:44:56 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -50/  -5 Avg: 4455/4412 |  lat:   59 ms| bidding (0) | balance:500000  
2018-01-05 03:45:01 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -20/   0 Avg: 4454/4412 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:45:01 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -20/   0 Avg: 4454/4412 |  lat:   55 ms| bidding (0) | balance:500000  
2018-01-05 03:45:08 | Price: p:4399/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -121/ -21/  -1 Avg: 4454/4412 |  lat:   85 ms| bidding (0) | balance:500000  
2018-01-05 03:45:17 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -20/   0 Avg: 4454/4411 |  lat:   58 ms| bidding (0) | balance:500000  
2018-01-05 03:45:21 | Price: p:4399/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -24/   0 Avg: 4454/4411 |  lat:   56 ms| bidding (0) | balance:500000  
2018-01-05 03:45:24 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -24/   0 Avg: 4454/4411 |  lat:   57 ms| bidding (0) | balance:500000  
2018-01-05 03:45:26 | Price: p:4399/b:4398/a:4399/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -115/ -48/  -1 Avg: 4453/4411 |  lat:   74 ms| bidding (0) | balance:500000  
2018-01-05 03:45:39 | Price: p:4399/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -121/ -48/  -1 Avg: 4453/4411 |  lat:   55 ms| bidding (0) | balance:500000  
2018-01-05 03:45:42 | Price: p:4399/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -121/ -48/  -1 Avg: 4453/4411 |  lat:   57 ms| bidding (0) | balance:500000  
2018-01-05 03:45:44 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -24/   0 Avg: 4453/4410 |  lat:   79 ms| bidding (0) | balance:500000  
2018-01-05 03:46:08 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -119/ -47/   0 Avg: 4453/4410 |  lat:  103 ms| bidding (0) | balance:500000  
2018-01-05 03:46:13 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -119/ -47/   0 Avg: 4453/4409 |  lat:   92 ms| bidding (0) | balance:500000  
2018-01-05 03:46:16 | Price: p:4400/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -119/ -47/   1 Avg: 4453/4409 |  lat:  100 ms| bidding (0) | balance:500000  
2018-01-05 03:46:18 | Price: p:4399/b:4399/a:4400/l:4646 | Buy/Sell/Vol: 0/0/0 |  Delta: -120/ -46/   0 Avg: 4453/4409 |  lat:   55 ms| bidding (0) | balance:500000  
